0.47192,0.39339,0.30233,0.33017,0.15604,0.41558,0.48035,0.49335,0.40974,0.9793,0.61446,0.78565,-1
0.46554,0.40727,0.27329,0.44796,0.11191,0.31765,0.55693,0.35508,0.51627,0.85365,0.30142,0.55699,-1
0.54629,0.51765,0.28244,0.43791,0.1238,0.4978,0.61606,0.4781,0.38907,0.38291,0.64477,0.77626,-1
0.79096,0.80464,0.40689,0.50098,0.10592,0.3741,0.65914,0.4336,0.49203,0.44799,0.62906,0.73391,-1
0.42188,0.7492,0.6185,0.57208,0.50806,0.63585,0.32226,0.39032,0.23899,0.79853,0.63245,0.70462,-1
0.65356,0.58289,0.29977,0.32926,0.059175,0.21367,0.76532,0.47079,0.27127,0.31076,0.62916,0.34978,-1
0.57846,0.64993,0.47277,0.4403,0.071739,0.36502,0.58785,0.53935,0.31488,0.79384,0.29957,0.6872,-1
0.27767,0.36962,0.51611,0.57888,0.19075,0.77576,0.43565,0.17034,0.33217,0.49977,0.78021,0.95279,-1
0.31081,0.38608,0.46525,0.35569,0.24228,0.48483,0.39722,0.48129,0.16258,0.69167,0.24643,0.24278,1
0.29585,0.30992,0.18681,0.25387,0.28515,0.65577,0.61079,0.55595,0.51632,0.59996,0.23168,0.70714,-1
0.39578,0.34266,0.40327,0.32285,0.14433,0.47763,0.63375,0.046344,0.22809,0.49628,0.23517,0.69474,-1
0.28079,0.31885,0.23148,0.12137,0.2361,0.47193,0.54786,0.23547,0.84591,0.35625,0.22749,0.66757,-1
0.36868,0.31551,0.63286,0.55865,0.11594,0.20923,0.54769,0.33632,0.24907,0.51364,0.97175,0.65617,-1
0.50695,0.49881,0.33274,0.48326,0.12324,0.2808,0.59522,0.44271,0.29715,0.65794,0.95383,0.71584,-1
0.15662,0.14798,0.16612,0.27433,0.1254,0.24782,0.87633,0.49311,0.80909,0.3754,0.60515,0.69906,-1
0.16289,0.14041,0.30019,0.42184,0.13285,0.33866,0.794,0.30772,0.42807,0.69882,0.58166,0.7002,-1
0.43342,0.37433,0.20804,0.32944,0.15826,0.24145,0.67075,0.69549,0.57733,0.4432,0.23273,0.62642,-1
0.27356,0.26523,0.10344,0.15367,0.18906,0.21824,0.57845,0.24664,0.58138,0.47926,0.23072,0.68485,-1
0.20313,0.22204,0.3506,0.37157,0.18295,0.65408,0.51025,0.70615,0.3999,0.67443,0.23678,0.82099,1
0.6821,0.605,0.40427,0.32243,0.15938,0.66945,0.76809,0.56195,0.34561,0.56551,0.52244,0.69192,-1
0.46948,0.46995,0.31247,0.22618,0.21033,0.30321,0.44269,0.52789,0.22188,0.45398,0.31669,0.45824,-1
0.32682,0.29183,0.33448,0.11313,0.13093,0.39359,0.59449,0.38265,0.090844,0.6926,0.32237,0.49887,-1
0.2706,0.3977,0.38012,0.43758,0.24892,0.34105,0.458,0.2529,0.29255,0.61756,0.59736,0.78848,-1
0.51894,0.42472,0.26562,0.45558,0.19902,0.25958,0.59614,0.58714,0.76736,0.64861,0.57016,0.52595,-1
0.48095,0.38411,0.31705,0.31368,0.11863,0.15143,0.5425,0.34963,0.85857,0.59141,0.37304,0.32634,-1
0.34818,0.51595,0.59997,0.037817,0.13875,0.39869,0.67967,0.72391,0.2167,0.61775,0.41533,0.81957,1
0.38951,0.42096,0.12867,0.40273,0.21557,0.5203,0.70476,0.20544,0.93217,0.72596,0.43665,0.74901,1
0.15808,0.14989,0.36835,0.54056,0.15335,0.33818,0.69264,0.15222,0.66878,0.74399,0.21497,0.78091,1
