@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52... numeric
@attribute -0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99... numeric
@attribute 0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25... numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76... numeric
@attribute Class {-1,1}

@data
-0.913395,3.66515,-1.523684,0.75054,0.411437,-1
10.484438,-1.862646,0.894635,4.3507,-1.996201,1
10.342281,-2.640964,1.296807,4.157997,0.079466,1
-0.888961,2.870457,-2.735339,0.11475,-0.602903,1
8.60996,-15.548173,-2.066256,5.759597,-0.076447,1
0.111656,4.07542,-1.76873,-4.101415,-0.450608,-1
-4.19082,-1.91248,7.643951,0.834719,0.571785,1
8.203371,1.896868,2.531894,-0.760295,0.901195,1
0.026956,2.331521,3.092146,-1.422701,-0.969829,-1
-21.049819,-6.745372,-0.186899,0.087264,3.113751,-1
1.78683,0.392936,5.562865,2.210364,-1.659132,1
-11.697111,-0.818032,3.829975,-0.245237,-2.558111,1
-1.370035,0.289666,3.547676,-0.922689,-2.987966,-1
-4.49164,2.391998,0.151536,-3.49341,-0.424812,-1
-9.701393,-4.40156,-2.237274,0.530566,3.096312,1
0.629347,1.875596,1.344087,-1.656645,-2.086274,-1
-2.332989,-4.270751,0.803393,0.108474,1.525924,-1
0.287313,3.684496,1.211558,3.53797,-3.446538,1
10.093469,2.30163,-1.105687,-4.14551,0.142021,-1
1.991898,0.292191,-2.624188,-2.774737,-1.901954,1
-6.531172,2.299453,9.164027,1.181235,5.648404,-1
-11.637354,2.029107,-1.269854,4.196732,5.11372,1
0.026891,4.677164,-0.017472,-2.50474,-0.160863,-1
-2.373216,-6.193263,-1.23522,0.100355,6.692818,-1
5.504901,1.667107,8.89535,8.040442,0.218822,1
-0.351146,-5.557879,-0.218151,6.259951,-3.506026,1
1.743366,-2.334621,-2.614369,1.255932,-2.348513,1
0.314001,3.478211,-0.579124,1.380859,0.952801,-1
-0.934955,5.359405,-2.189872,-1.485402,0.773584,-1
-7.517488,0.959916,0.603583,0.866732,-0.863778,1
-6.790547,-0.183115,0.316891,2.403339,-3.335908,1
8.97217,0.533005,-0.766584,1.592223,-0.050372,1
15.214411,1.447081,3.65748,3.724272,3.103956,1
-4.483084,0.581084,-1.890662,-1.112558,2.610041,-1
-0.847732,-6.326328,1.237404,-3.179198,3.842418,1
7.946914,-2.291778,0.520988,0.666678,0.002771,1
