@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86-0.119Feature58-0.119Feature57-0.119Feature163-0.119Feature83+0.118Feature148... numeric
@attribute '-0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32-0.191Feature36+0.19 Feature99+0.174Feature97+0.173Feature101+0.163Feature100...' numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30+0.181Feature96+0.166Feature18-0.166Feature28+0.162Feature92-0.151Feature31... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11+0.165Feature116-0.158Feature26-0.153Feature104-0.149Feature51-0.142Feature89... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76+0.197Feature24-0.197Feature141+0.194Feature14+0.186Feature105-0.16Feature96...' numeric
@attribute '0.235Feature13+0.229Feature91+0.212Feature104+0.207Feature12+0.2  Feature107+0.186Feature141-0.183Feature76-0.182Feature50-0.177Feature128+0.176Feature16...' numeric
@attribute '0.36 Feature110+0.311Feature19+0.296Feature109+0.252Feature111+0.22 Feature18+0.211Feature108+0.21 Feature20+0.174Feature97+0.168Feature17+0.134Feature30...' numeric
@attribute 0.344Feature106+0.286Feature15+0.271Feature107+0.245Feature16-0.223Feature12-0.211Feature90-0.204Feature89-0.194Feature11+0.188Feature28-0.171Feature102... numeric
@attribute '0.302Feature21-0.246Feature23+0.23 Feature99-0.226Feature114+0.209Feature20-0.203Feature108+0.195Feature112-0.19Feature17+0.175Feature98-0.149Feature105...' numeric
@attribute '-0.315Feature17-0.286Feature108-0.253Feature95+0.174Feature3-0.165Feature99-0.157Feature21-0.155Feature9+0.153Feature4+0.141Feature24+0.14 Feature15...' numeric
@attribute Class {-1,1}

@data
6.709191,-3.510406,1.177277,2.597001,-2.511379,-0.124586,0.795361,0.737948,-2.307292,-0.688308,-1
-4.149998,0.592447,0.560454,-1.721721,0.541418,-0.992262,-0.425672,-1.26057,-0.577175,0.100118,-1
-0.017335,-0.963005,-0.051489,1.656823,-2.610513,-1.150009,2.008676,2.110689,-1.964162,0.494706,1
-4.431537,0.738838,0.375575,2.975196,1.793953,0.584805,1.854003,1.175133,1.367393,1.448568,-1
3.749724,2.793282,-1.150359,-0.892239,-1.425848,-2.012371,0.923473,-0.567014,-1.931057,-1.591948,1
-11.309437,-4.357237,-0.910293,0.924033,1.73143,1.144686,-0.341109,1.467455,-0.841634,-1.011707,-1
-8.009032,0.703006,1.214193,-5.315678,2.072392,-2.085901,-0.972883,-1.762796,0.625976,2.907931,-1
5.562465,1.380878,2.04084,-4.076951,3.522784,0.259863,-0.291486,-0.773444,2.340628,-1.176737,1
4.891496,4.930427,5.717764,-0.341246,4.335192,-1.245969,-1.490233,-2.481127,-0.964544,1.540854,-1
-11.60919,2.467295,5.333783,-0.025178,3.817275,-9.822403,3.448627,1.022707,1.366981,2.916277,-1
-2.755619,-0.279797,2.866659,-4.736133,1.118377,-1.848078,-0.638192,-0.902336,-0.737233,-0.905438,1
5.657039,4.198989,1.258539,1.218586,0.098195,1.068866,-0.855092,0.776471,-0.267365,-0.15701,1
-11.452257,-4.609571,-0.540162,4.52861,-0.206624,-0.797779,3.996675,-1.657278,-5.708142,4.937956,-1
0.32221,-1.172814,-2.308198,1.153345,-0.270778,-0.673593,-0.195503,-2.519209,-2.811522,-0.289241,1
-4.295858,0.940423,-3.328073,-3.779939,-0.188994,0.0143,-4.375087,-0.183812,0.463802,0.177941,1
4.449396,-2.6359,-2.692314,-1.964027,0.299362,-0.894701,-2.835127,-2.208042,-0.998816,-1.869425,1
-5.435535,0.362746,-2.971428,-6.109785,-3.061906,2.251564,1.36715,1.07877,0.85973,1.403318,1
-0.39261,1.440566,-0.283052,-1.028103,-4.22726,-0.335731,2.887511,-2.385733,-0.977645,-2.516585,1
3.440154,0.593001,-3.389831,-1.264102,-1.930734,-3.300303,2.197474,-0.58855,-1.812091,0.953355,-1
6.797676,-1.976652,-0.543323,-0.757159,5.038119,2.026675,-1.313968,-3.641257,-1.665067,1.370629,1
1.836599,-2.529955,-4.167614,1.990177,1.161522,5.390881,4.688826,0.214603,1.737242,-2.882288,-1
8.385258,2.187498,0.318085,-0.509532,1.211245,1.684765,-3.61567,-0.304544,0.318326,2.458936,1
-1.254078,-0.007864,2.600736,0.259823,-1.230704,0.223811,0.593811,0.063614,1.09361,0.562443,1
1.875451,0.563029,-0.805763,2.518622,-3.060668,-1.249528,2.730685,-2.110612,-0.899526,0.212776,1
-0.58377,3.136604,-0.480282,1.564228,-0.171861,1.961459,1.723606,0.197231,-0.102297,-1.835952,1
3.653778,-0.905342,1.582619,0.965412,-1.80078,-2.941388,0.584644,2.841939,-1.790027,1.356279,1
-0.284177,2.41743,-0.197651,1.812476,0.726531,-5.819395,0.257645,-1.544787,-0.728331,-0.386088,-1
0.445908,3.851637,1.25221,2.227069,-0.690683,0.594347,-0.78647,1.287736,2.781074,-0.584212,-1
-0.247728,1.512599,-1.794289,0.148057,-0.506603,1.963493,-0.89026,2.885768,-2.994376,-0.89603,1
3.710719,2.503404,-2.64368,0.130087,-1.40294,1.601156,0.725572,-1.091976,2.349036,1.208117,1
-2.555319,-3.960475,2.396323,-4.501186,-2.774789,0.374474,-0.541124,-0.773344,3.652546,0.570464,-1
-0.279916,1.866248,1.69985,2.220422,2.31598,1.633078,0.286849,-0.09281,0.31553,0.821157,-1
-4.269373,-0.292061,-0.631553,1.957414,-3.314552,0.886721,-0.086291,0.093525,-1.661285,1.10977,-1
-4.184114,-2.84224,4.393649,-4.894181,1.033061,-1.723542,-1.98297,-0.121859,1.891565,0.090943,1
5.734074,-4.65495,1.932425,0.357813,4.341826,0.130266,-1.565202,-0.981205,-4.791651,1.949731,1
1.778383,2.564623,-0.890653,-0.29767,-0.37437,-1.817662,0.876541,-2.409291,-0.484236,-3.586872,-1
-15.713642,1.56265,-1.018901,-4.387998,-0.575063,-1.620743,1.400307,1.130085,-0.6963,-1.236231,-1
-12.464577,2.188523,-2.46462,-3.471002,-2.837938,3.072089,2.322261,-2.099062,4.07067,0.363936,-1
9.248761,0.098869,2.911667,-5.336012,3.599345,4.027359,2.847477,-0.634703,-1.136377,-0.031494,1
8.313857,-3.119383,2.930193,-0.274259,-3.268673,1.06809,0.789834,-2.15595,-0.137266,0.366391,1
19.265913,-11.400874,0.561592,3.661494,2.262101,-0.250883,0.600393,5.090091,-0.564621,2.504127,1
-12.660648,-2.910664,-2.127597,-8.092445,-0.071549,-0.39421,1.702752,-0.051826,-2.963298,1.546038,1
3.708821,4.449965,-0.444139,-0.132953,2.988058,-2.10931,0.149811,-1.576102,0.4359,3.327084,-1
9.206584,1.291938,2.736951,4.563877,3.542285,-2.210549,-4.934013,-1.336484,-0.782745,0.24518,1
1.90613,-1.02246,1.013628,1.024818,-3.483446,0.817534,-0.007989,-1.64409,-4.024359,0.054507,1
3.595913,-3.166444,-0.620138,-1.069749,-1.652943,-0.473036,-0.450285,0.742477,-0.204158,-0.89728,1
-6.460154,-0.424979,1.312075,-2.60805,-0.489251,-0.840157,2.471987,1.039756,-0.148782,-1.172098,-1
18.67932,-4.848445,-7.257273,4.842548,-2.206125,-6.6013,0.021352,1.745242,3.874065,-0.335194,1
-6.246531,4.898708,-1.20725,-0.523205,1.830868,2.163831,-1.157701,-1.962814,0.040036,-1.267351,1
-5.974861,3.72291,-4.754623,-1.154518,-1.342342,0.861104,-1.961931,0.124407,0.142191,-0.379052,1
-4.78387,3.794043,-1.47871,3.581331,2.095791,0.825831,-2.098406,-0.339458,2.103501,0.795751,-1
-9.092391,-6.310106,-0.237075,6.880484,1.904026,2.085571,-1.69903,-1.110143,2.413485,-1.116151,-1
5.575407,0.593783,0.983589,-11.301422,2.617853,-0.386342,1.299777,2.89628,-0.478456,-2.423234,1
-0.844209,-6.447719,3.765333,3.098182,2.655631,2.199135,-3.351044,0.734871,-0.776925,-0.039765,1
5.504615,4.493269,-1.392774,1.328614,-0.291452,0.980283,-1.053536,0.750837,0.020599,-1.258869,1
11.710014,-1.280108,-0.389611,-2.048701,-0.414541,-2.057173,-1.479877,2.499691,1.180742,-2.300827,1
3.863686,1.472947,2.15115,-2.615672,2.831108,-0.623846,-1.063941,-0.234935,2.670346,0.057431,1
25.826748,-2.055898,2.761605,2.213907,-1.016014,0.182843,-1.276902,-0.31023,-4.567273,-3.398429,1
6.02681,-2.952539,0.815146,2.436287,-2.514928,-0.500489,0.214635,-2.201122,1.24095,-0.540299,-1
-8.437188,-1.762374,-2.824884,-5.01421,-0.994686,2.374785,-1.036681,-0.245539,1.042857,1.026163,1
-1.520086,0.555677,0.063065,-4.106961,-2.637586,0.465558,-1.072588,0.493699,2.556975,-0.497845,1
-4.298753,1.294677,5.030454,2.086849,2.914833,0.574576,3.854136,-0.821992,0.328031,0.611601,-1
-7.015196,-11.139331,-1.246357,0.979682,2.408957,-0.604811,-0.265202,4.369841,2.466125,3.070439,1
6.184284,-4.709596,0.637052,0.573989,-1.46368,-3.19412,-1.807164,-0.987435,-0.567525,-0.589622,1
0.688868,1.123025,-1.457148,0.537835,-0.413992,-1.869319,-2.012981,-2.8989,-1.000351,1.356579,-1
-4.769702,-1.051645,-0.485005,-0.579946,-2.738883,-1.213716,1.193183,0.811534,-2.305324,-2.039252,-1
-1.598814,1.613895,-2.963715,-0.124919,0.172382,-1.716096,1.430053,0.886239,-1.300136,-0.323456,1
-0.104226,1.275693,-0.702055,1.925476,-1.003704,-2.959137,-0.132734,0.342202,0.483631,-2.604626,-1
2.072722,-1.259526,-1.752643,0.11817,-1.201406,1.863786,-1.926863,1.303959,-0.537951,0.187814,1
2.254124,-6.77678,2.65143,-3.787999,-1.079421,-0.111596,-0.311045,-1.333319,1.914559,0.390997,1
-9.2182,0.594501,-1.493693,-6.563274,-1.143462,1.760396,-0.233378,1.311588,1.525525,-0.665963,1
-10.262336,1.73036,-2.663154,-2.2821,-2.384705,-3.846032,-0.85776,-2.077748,-2.008179,0.972594,-1
-5.675702,2.768275,-2.436623,-2.628363,-3.973159,0.688287,1.767705,0.271842,1.054735,-0.731097,1
6.148353,-1.400328,0.589874,-1.477613,-3.705555,-0.764637,0.80067,-1.263694,-2.221719,-1.294092,1
8.296642,6.861973,3.302553,3.508124,-1.092497,0.83278,-1.39774,1.500196,0.871959,1.409288,-1
-0.00213,4.238595,2.070069,3.244033,-2.402087,0.941668,1.932411,1.75484,-0.20352,0.56021,-1
-3.136673,2.089957,-2.218579,-0.199323,2.233201,0.422192,0.014775,-1.055127,-0.068931,-0.243492,1
-0.900782,3.090982,0.309401,0.527023,-1.159824,0.650376,0.194807,0.825786,-1.352702,0.367372,-1
3.264649,2.248812,-0.517412,0.67223,-3.055082,-4.07657,1.038938,4.504383,-1.467445,-0.118648,-1
0.285046,3.391392,-1.088891,-0.355045,1.14751,-2.66748,-1.803247,1.008467,-1.422959,-0.216475,-1
-3.479068,4.647656,-3.03134,-3.718029,-2.155816,3.816584,-0.760596,-0.231055,0.022569,-0.057407,1
-6.532792,-2.192456,2.211503,-5.319809,-0.916121,0.204577,0.384444,-2.728041,1.510721,-1.793714,-1
6.044313,1.509423,0.733021,-1.999998,1.071795,3.874608,1.671179,-1.494665,-1.765956,0.359796,1
0.324323,-1.586923,-2.425685,0.361886,-3.045377,1.144399,0.697006,-1.516309,0.883451,0.007307,1
-0.39747,-5.730459,-6.096291,-4.96062,-0.306232,-0.562948,0.940845,-0.975595,0.487336,1.603662,1
3.042928,0.092965,0.634615,1.698797,-0.215351,-0.21857,-1.664389,1.274581,1.56701,1.519144,-1
-7.190103,-1.313847,3.94785,0.402361,-2.940407,-1.188416,-2.985098,1.074429,1.717432,-0.318031,-1
3.679282,2.034547,-3.771913,0.838386,1.687535,0.274997,-0.888979,7.13979,1.777476,-2.424075,-1
3.01341,-3.410223,-0.108308,-4.14898,-2.709892,-0.090964,-0.414502,-1.024305,2.65104,0.373225,1
-9.459678,-4.520445,-1.150589,2.871281,3.834532,2.2677,-2.022316,-0.645046,1.144783,-1.863153,1
-4.94313,0.864885,-0.574581,-0.359972,-0.670934,2.71788,1.069849,-0.746522,-0.687999,-0.663508,1
-11.210454,3.972792,-1.945078,1.739061,-2.935455,-0.372421,-1.78056,1.475431,-0.064585,1.123867,-1
-11.147657,-5.118324,5.304392,-1.431365,-4.217035,0.632852,2.026446,-1.594515,-0.251742,0.82555,-1
-3.802685,3.683165,-0.084199,4.497871,1.175859,0.705063,0.276277,0.220652,2.080355,2.563875,-1
4.155184,0.966604,-2.439772,-0.827954,0.216542,-0.762934,-1.015653,0.178439,-0.054929,-1.070834,1
0.1831,4.710735,4.347542,0.414918,2.224933,0.564757,1.499318,-1.708421,-0.415372,0.698905,-1
2.942216,2.612411,-3.789513,-1.67593,-1.819116,-1.930271,-1.499581,-0.150599,3.621995,0.481868,1
5.369805,-3.222767,1.183567,-2.814741,-2.796581,-0.196739,0.573006,1.992301,1.487061,-0.429405,1
-4.581498,3.513349,-0.276494,-0.257992,-1.966311,0.568637,0.273943,-0.268214,-0.63344,-0.910874,1
7.383403,-6.288093,1.525177,-0.408366,-3.681479,0.791907,0.40618,-0.899001,-3.504068,3.087804,-1
0.473898,1.709589,1.418566,-0.411223,-2.808949,-0.456315,-0.116912,0.017631,1.823019,0.982504,-1
-3.545296,3.268088,0.618677,-0.457246,1.211863,-0.534638,0.418746,-2.199984,0.021087,-0.451684,-1
