@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86... numeric
@attribute -0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32... numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76...' numeric
@attribute Class {-1,1}

@data
6.02681,-2.952539,0.815146,2.436287,-2.514928,-1
-8.437188,-1.762374,-2.824884,-5.01421,-0.994686,1
-1.520086,0.555677,0.063065,-4.106961,-2.637586,1
-4.298753,1.294677,5.030454,2.086849,2.914833,-1
-7.015196,-11.139331,-1.246357,0.979682,2.408957,1
6.184284,-4.709596,0.637052,0.573989,-1.46368,1
0.688868,1.123025,-1.457148,0.537835,-0.413992,-1
-4.769702,-1.051645,-0.485005,-0.579946,-2.738883,-1
-1.598814,1.613895,-2.963715,-0.124919,0.172382,1
-0.104226,1.275693,-0.702055,1.925476,-1.003704,-1
2.072722,-1.259526,-1.752643,0.11817,-1.201406,1
2.254124,-6.77678,2.65143,-3.787999,-1.079421,1
-9.2182,0.594501,-1.493693,-6.563274,-1.143462,1
-10.262336,1.73036,-2.663154,-2.2821,-2.384705,-1
-5.675702,2.768275,-2.436623,-2.628363,-3.973159,1
6.148353,-1.400328,0.589874,-1.477613,-3.705555,1
8.296642,6.861973,3.302553,3.508124,-1.092497,-1
-0.00213,4.238595,2.070069,3.244033,-2.402087,-1
-3.136673,2.089957,-2.218579,-0.199323,2.233201,1
-0.900782,3.090982,0.309401,0.527023,-1.159824,-1
3.264649,2.248812,-0.517412,0.67223,-3.055082,-1
0.285046,3.391392,-1.088891,-0.355045,1.14751,-1
-3.479068,4.647656,-3.03134,-3.718029,-2.155816,1
-6.532792,-2.192456,2.211503,-5.319809,-0.916121,-1
6.044313,1.509423,0.733021,-1.999998,1.071795,1
0.324323,-1.586923,-2.425685,0.361886,-3.045377,1
-0.39747,-5.730459,-6.096291,-4.96062,-0.306232,1
3.042928,0.092965,0.634615,1.698797,-0.215351,-1
-7.190103,-1.313847,3.94785,0.402361,-2.940407,-1
3.679282,2.034547,-3.771913,0.838386,1.687535,-1
3.01341,-3.410223,-0.108308,-4.14898,-2.709892,1
-9.459678,-4.520445,-1.150589,2.871281,3.834532,1
-4.94313,0.864885,-0.574581,-0.359972,-0.670934,1
-11.210454,3.972792,-1.945078,1.739061,-2.935455,-1
-11.147657,-5.118324,5.304392,-1.431365,-4.217035,-1
-3.802685,3.683165,-0.084199,4.497871,1.175859,-1
4.155184,0.966604,-2.439772,-0.827954,0.216542,1
0.1831,4.710735,4.347542,0.414918,2.224933,-1
2.942216,2.612411,-3.789513,-1.67593,-1.819116,1
5.369805,-3.222767,1.183567,-2.814741,-2.796581,1
-4.581498,3.513349,-0.276494,-0.257992,-1.966311,1
7.383403,-6.288093,1.525177,-0.408366,-3.681479,-1
0.473898,1.709589,1.418566,-0.411223,-2.808949,-1
-3.545296,3.268088,0.618677,-0.457246,1.211863,-1
-14.988092,-13.470714,7.075939,3.449706,-2.321065,1
5.055338,-8.754652,-6.312948,0.670948,5.309817,1
-1.396879,2.948948,-0.911815,-0.654422,0.976785,1
3.359611,-0.859915,0.882893,2.849776,-5.189118,-1
-3.037113,0.24215,-0.197967,-1.040545,-1.921001,-1
-4.659687,3.449894,-3.078001,-0.623011,-0.503411,-1
16.813749,3.481481,2.446172,2.618947,3.083763,1
4.685167,-5.108165,3.452578,-0.261113,-1.49065,1
-1.507832,3.550312,0.596676,5.700132,-1.153736,-1
0.887045,0.572336,-3.239513,1.553859,-0.975836,1
-0.822083,-0.763886,2.208913,3.062885,-1.195901,1
20.973561,-2.393419,4.902141,-2.422472,1.279878,1
-7.142906,-4.74986,4.194635,-1.17688,3.728147,-1
-3.049807,2.339172,-0.412189,1.883136,-2.791076,-1
2.982589,5.812449,3.491735,-1.798274,3.573292,1
5.72491,-0.155526,-2.47459,-1.802378,4.210159,1
3.408637,-1.616071,5.404431,2.628001,0.244719,-1
9.634212,-0.607623,-1.040967,1.421617,-1.692234,1
-7.35512,0.556731,-0.481877,-1.34891,-0.457072,1
-5.258987,-0.665528,0.940068,1.501867,-2.874829,-1
-0.942617,5.784956,2.002666,0.630405,2.752881,-1
-5.809776,3.404414,-2.858628,-2.460778,-1.302048,-1
-4.724268,4.882462,-3.165428,1.453668,0.885305,-1
-2.271849,-4.52804,0.743099,0.158704,1.769912,-1
1.47608,0.267338,-2.521044,1.46004,1.103499,1
1.864369,-1.495457,-0.114746,1.463382,-3.509589,1
3.055089,5.456435,0.328088,0.148559,0.242692,-1
1.856009,-0.214393,1.866235,-6.476593,-1.44148,1
-0.977768,5.338967,0.257133,2.300983,-0.195931,-1
-11.137847,-1.843306,4.12504,0.519886,-4.481827,-1
1.983804,-6.288489,2.200409,0.03982,-0.852638,1
-11.210682,1.842296,-1.800635,-0.306674,6.515935,1
-10.29515,-0.160823,0.989333,-0.903781,-1.65027,-1
14.80011,1.634793,0.824371,-3.909176,3.834285,1
-6.545162,1.011369,1.204569,-1.815013,-3.087288,-1
-7.469169,-0.365731,-0.981812,4.070728,2.910952,1
-4.546047,2.295462,2.390453,1.645855,-2.177417,-1
1.116586,-4.35602,-1.556175,-0.979345,3.873766,1
5.487842,-8.853339,2.031155,-0.346207,-3.840041,1
13.391073,3.542267,1.405982,-1.288481,0.963319,1
5.901221,-4.154409,0.577798,-5.965124,0.056278,1
-0.497021,-0.466408,0.847225,1.931929,-2.271978,-1
