@relation 'Music_Emotion_Recognition-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.functions.SMO -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature28 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature97 numeric
@attribute Feature102 numeric
@attribute Feature112 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature152 numeric
@attribute Feature166 numeric
@attribute Class {-1,1}

@data
0.092662,0.1629,0.30756,0.75685,0.43688,0.47033,0.30088,0.59151,0.50524,0.29188,-1
0.28451,0.21236,0.49475,0.41841,0.51197,0.67839,0.42769,0.50491,0.59959,0.38678,1
0.24139,0.13088,0.54158,0.79192,0.50632,0.2028,0.41874,0.86809,0.86536,0.47559,1
0.23447,0.29314,0.3436,0.79175,0.47962,0.23303,0.37818,0.85297,0.74409,0.40595,1
0.44278,0.12629,0.19605,0.77509,0.48614,0.21517,0.66502,0.70934,0.62295,0.54155,1
0.29002,0.15606,0.32802,0.77009,0.47048,0.15787,0.53062,0.24691,0.41278,0.64599,-1
0.37859,0.6075,0.40319,0.56946,0.54716,0.48353,0.41652,0.37597,0.62886,0.42613,1
0.25675,0.56041,0.34619,0.52928,0.44148,0.39169,0.40944,0.49543,0.6238,0.41481,-1
0.35684,0.39708,0.15941,0.48993,0.1496,0.29638,0.52163,0.55022,0.41396,0.53491,-1
0.41194,0.11013,0.10346,0.84168,0.88559,0.27736,0.47339,0.61166,0.83646,0.22452,1
0.29177,0.45984,0.37378,0.50116,0.41695,0.44582,0.48998,0.67456,0.46303,0.64447,1
0.34984,0.43123,0.70238,0.82087,0.37407,0.36195,0.59244,0.70555,0.32974,0.74241,-1
0.31643,0.35766,0.30812,0.56481,0.24348,0.42842,0.4426,0.7905,0.70307,0.34312,-1
0.23332,0.28862,0.13616,0.86977,0.39637,0.24026,0.46267,0.61526,0.66232,0.37162,-1
0.32301,0.31467,0.25257,0.67724,0.77607,0.42673,0.38293,0.69255,0.87001,0.13709,1
0.32388,0.387,0.23952,0.94268,0.56934,0.29222,0.36055,0.75546,0.6702,0.34164,1
0.20228,0.12015,0.57145,0.78346,0.75146,0.43195,0.33077,0.88776,0.72991,0.30428,1
0.36543,0.15237,0.68886,0.75616,0.61679,0.26962,0.4291,0.97916,0.69183,0.23385,1
0.35559,0.35726,0.32905,0.78187,0.56277,0.043182,0.48588,0.89638,0.6695,0.39749,1
0.32527,0.10056,0.2688,0.83305,0.58026,0.33428,0.38744,0.77351,0.75548,0.2892,1
0.27925,0.19594,0.16196,0.89348,0.30667,0.26257,0.29044,0.77271,0.62968,0.39625,-1
0.44164,0.11549,0.16885,0.84644,0.50351,0.27108,0.38128,0.79159,0.68804,0.42173,1
0.46626,0.15589,0.18391,0.68752,0.52187,0.34191,0.59137,0.69948,0.72859,0.43591,1
0.29338,0.37137,0.2566,0.58879,0.40056,0.33669,0.44894,0.76306,0.61922,0.45638,-1
0.36888,0.32135,0.21347,0.69648,0.45901,0.36181,0.43135,0.72831,0.77802,0.23598,1
0.34588,0.35453,0.32959,0.83139,0.48043,0.34498,0.67171,0.76026,0.63893,0.42352,1
0.2667,0.26601,0.43063,0.62859,0.41825,0.26806,0.59974,0.74615,0.53646,0.39534,1
0.40083,0.14857,0.19447,0.63751,0.48439,0.2392,0.42479,0.72257,0.77868,0.28612,1
0.17983,0.17939,0.16015,0.82272,0.4567,0.26654,0.24259,0.81686,0.73234,0.33277,1
0.20742,0.19228,0.26407,0.71543,0.38646,0.40883,0.34982,0.88018,0.59663,0.33552,-1
0.1488,0.14221,0.19149,0.78491,0.33874,0.36426,0.27999,0.80858,0.59116,0.38141,-1
0.38889,0.11877,0.15081,0.73864,0.78958,0.49462,0.44653,0.55145,0.78425,0.31906,1
0.45831,0.37081,0.5196,0.67556,0.60434,0.79182,0.43565,0.70035,0.63413,0.42239,1
0.21883,0.067043,0.16417,0.98393,0.35951,0.271,0.29278,0.83779,0.86725,0.20791,1
0.2178,0.06896,0.16311,0.93621,0.3953,0.40833,0.26736,0.79568,0.87683,0.16325,1
0.11628,0.05414,0.13397,0.92594,0.37987,0.26491,0.3191,0.86168,0.73621,0.16735,1
0.10925,0.18069,0.11396,0.79968,0.62523,0.1494,0.71439,0.79729,0.82643,0.40977,1
0.25037,0.308,0.32898,0.79233,0.55877,0.28402,0.36771,0.84087,0.55752,0.44986,1
0.17875,0.11477,0.34,0.91575,0.49751,0.27918,0.38524,0.67101,0.68312,0.4749,1
0.13394,0.090141,0.12617,0.84677,0.52235,0.22844,0.42633,0.32156,0.76858,0.27641,-1
0.36543,0.32294,0.29695,0.59299,0.48881,0.50856,0.54252,0.73217,0.62382,0.46576,1
0.2712,0.17922,0.35967,0.74207,0.48992,0.31221,0.45531,0.75661,0.53292,0.31161,-1
0.21964,0.44335,0.23696,0.87431,0.52377,0.11129,0.48,0.79445,0.66812,0.38794,1
0.21782,0.32634,0.23222,0.40795,1,0.40522,0.41044,0,0.63875,0.34063,1
0.29743,0.095221,0.1585,0.87151,0.46811,0.29672,0.36443,0.57012,0.6661,0.34416,1
0.2534,0.17909,0.19048,0.85555,0.20712,0.3298,0.37971,0.71229,0.55614,0.5436,-1
0.31087,0.18478,0.28315,0.75098,0.58091,0.012129,0.58458,0.4885,0.46973,0.52334,-1
0.31216,0.1979,0.39703,0.55429,0.50983,0.26576,0.44217,0.67372,0.50974,0.39039,-1
0.22615,0.19617,0.20591,0.75069,0.46582,0.10248,0.59315,0.45339,0.64444,0.29592,-1
0.53745,0.29906,0.38489,0.65611,0.76121,0.41464,0.52202,0.6626,0.5543,0.58179,1
0.49544,0.16829,0.24894,0.75488,0.70863,0.48592,0.3871,0.58955,0.47347,0.5943,1
0.43968,0.45446,0.3294,0.76522,0.5975,0.62922,0.31741,0.76395,0.58744,0.25148,-1
0.29694,0.082082,0.12508,0.8239,0.32638,0.29174,0.34071,0.80752,0.83525,0.3049,1
0.48619,0.10087,0.18662,0.79608,0.35769,0.27938,0.34425,0.74326,0.75356,0.34135,1
0.29066,0.13874,0.16773,0.73291,0.38317,0.36157,0.3317,0.50992,0.64164,0.34239,1
0.33698,0.26671,0.2501,0.68325,0.45729,0.26741,0.4718,0.47984,0.7646,0.26878,1
0.59012,0.26984,0.21551,0.84987,0.35322,0.15754,0.54649,0.7463,0.70259,0.42069,-1
0.27692,0.27741,0.35282,0.8467,0.24564,0.12984,0.49878,0.68438,0.51467,0.73478,-1
0.27154,0.22832,0.35232,0.83311,0.29578,0.24617,0.41851,0.6415,0.51756,0.47975,-1
0.26521,0.19053,0.27406,0.70494,0.34425,0.4835,0.41561,0.6492,0.57163,0.63069,1
0.30979,0.31728,0.16289,0.61347,0.68492,0.20956,0.2878,0.77318,0.73475,0.36579,1
0.47828,0.66937,0.68078,0.61516,0.56787,0.45316,0.33177,0.82456,0.61922,0.50178,1
0.23004,0.16169,0.24351,0.79913,0.53986,0.20422,0.22256,0.77026,0.81008,0.30756,1
0.3345,0.29225,0.6279,0.89732,0.5232,0.31532,0.4556,0.77795,0.71828,0.42497,1
0.30238,0.088565,0.32462,0.83779,0.40373,0.27688,0.58247,0.7491,0.62191,0.37814,1
0.2104,0.20938,0.32397,0.84624,0.29207,0.16213,0.55156,0.81724,0.56137,0.39514,-1
0.26391,0.42986,0.74538,0.27127,0.84768,0.81057,0.59516,0.40149,0.44011,0.54515,-1
0.47,0.13132,0.15857,0.77395,0.51753,0.37851,0.36879,0.75036,0.6417,0.44363,-1
0.2543,0.28532,0.34128,0.44421,0.47107,0.36949,0.48359,0.7429,0.65286,0.59723,-1
0.12719,0.098051,0.078131,0.75312,0.19438,0.16422,0.46068,0.76812,0.74533,0.23956,-1
0.25366,0.14309,0.12598,0.92433,0.49194,0.40415,0.39006,0.84422,0.81397,0.30832,1
0.29125,0.16971,0.15269,0.66305,0.61104,0.30813,0.53748,0.54455,0.55272,0.71937,-1
0.40111,0.19468,0.35418,0.96049,0.77536,0.41288,0.34294,0.69625,0.528,0.45075,1
0.38978,0.31172,0.29109,0.67825,0.49447,0.33748,0.36695,0.60423,0.67571,0.32732,1
0.27031,0.1788,0.18791,0.71539,0.55847,0.13643,0.41079,0.35969,0.50565,0.48298,-1
0.20796,0.088771,0.1062,0.90312,0.45134,0.2268,0.43356,0.42891,0.65037,0.46803,-1
0.2699,0.19382,0.18999,0.83917,0.38831,0.31534,0.4442,0.59676,0.5987,0.29083,-1
0.27232,0.088563,0.1134,0.89879,0.43653,0.30398,0.28972,0.52674,0.7008,0.31827,-1
0.34753,0.14106,0.21733,0.74704,0.33513,0.23801,0.49925,0.61258,0.67621,0.3905,-1
0.37817,0.28337,0.21345,0.55517,0.31827,0.40398,0.58467,0.67507,0.46157,0.73442,-1
0.26098,0.32486,0.27526,0.54834,0.28823,0.06116,0.49781,0.71099,0.59174,0.5173,-1
0.48396,0.2184,0.32763,0.80866,0.5332,0.40675,0.8838,0.80506,0.7108,0.39816,1
0.089607,0.149,0.18121,0.69267,0.5495,0.26313,0.44483,0.94467,0.73627,0.23989,1
0.2796,0.20609,0.20968,0.70302,0.56569,0.3238,0.3038,0.88533,0.70071,0.38676,1
0.49107,0.13377,0.3088,0.70017,0.53521,0.53855,0.54831,0.4508,0.56989,0.44815,-1
0.18465,0.36829,0.31558,0.51388,0.28756,0.4943,0.61598,0.59265,0.51096,0.42041,-1
0.31963,0.088501,0.090972,0.88585,0.57098,0.12437,0.35699,0.73359,0.76874,0.50265,1
0.25296,0.32316,0.49513,0.78702,0.443,0.359,0.72386,0.66588,0.65614,0.59269,1
0.35543,0.24242,0.22147,0.59463,0.28172,0.30119,0.39974,0.7198,0.70543,0.35469,1
0.3118,0.25606,0.17249,0.62849,0.37973,0.46956,0.59191,0.73032,0.5501,0.53757,1
0.4242,0.28828,0.3552,0.76697,0.40859,0.25918,0.56825,0.82184,0.67048,0.41989,-1
0.33483,0.28392,0.28999,0.53905,0.4184,0.41607,0.58433,0.79852,0.58074,0.43439,-1
0.26538,0.15761,0.24102,0.70457,0.70063,0.38293,0.33189,0.46831,0.56,0.48279,1
0.34394,0.29798,0.36897,0.57716,0.56154,0.31834,0.4167,0.55481,0.45034,0.48245,-1
0.17416,0.27499,0.43179,0.87372,0.34604,0.5421,0.59893,0.56508,0.59683,0.44457,-1
0.23849,0.30216,0.22965,0.5337,0.51407,0.38193,0.431,0.70466,0.69728,0.36415,-1
0.35747,0.21312,0.34333,0.87777,0.55532,0.28649,0.5143,0.69324,0.71909,0.29007,-1
0.40201,0.41013,0.49823,0.13679,0.46048,0.7451,0.39553,0.52798,0.48423,0.51598,1
0.15528,0.2271,0.16212,0.53458,0.27321,0.23099,0.53816,0.62786,0.66838,0.19462,1
0.40182,0.40154,0.54768,0.78568,0.92501,0.38117,0.66689,0.67338,0.80894,0.33269,1
0.21826,0.78227,0.85643,0.87179,0.68156,0.29209,0.7484,0.89217,0.75164,0.42872,-1
0.28719,0.43613,0.3601,0.76418,0.29888,0.64006,0.4996,0.62682,0.65698,0.27259,-1
0.27765,0.2422,0.44052,0.81263,0.36615,0.11342,0.6166,0.71577,0.5348,0.43232,-1
0.31256,0.40302,0.39316,0.60019,0.6075,0.51558,0.39686,0.87033,0.76796,0.20217,1
0.29947,0.39777,0.52323,0.80302,0.46088,0.36297,0.61901,0.86829,0.63264,0.36836,-1
0.19152,0.30805,0.38554,0.79225,0.4913,0.18635,0.53588,0.84751,0.63667,0.56368,-1
0.37806,0.68523,0.48423,0.18008,0.43865,0.54818,0.47339,0.59745,0,1,1
0.44934,0.31336,0.25897,0.62059,0.40414,0.32546,0.42074,0.489,0.43101,0.61817,-1
0.19373,0.15626,0.39726,0.87947,0.29072,0.36831,0.55343,0.8435,0.60575,0.3096,-1
0.26242,0.1385,0.20161,0.61412,0.4188,0.41691,0.26832,0.68683,0.67746,0.37582,-1
0.3005,0.21547,0.22288,0.82311,0.37291,0.29458,0.34044,0.80507,0.72063,0.29035,1
0.49296,0.53122,0.44332,0.43929,0.65186,0.61652,0.41035,0.28386,0.19373,0.62955,-1
0.43201,0.21872,0.18439,0.86489,0.72991,0.25266,0.33705,0.56263,0.72909,0.1224,1
0.38216,0.21588,0.20249,0.89044,0.60467,0.20416,0.44955,0.77184,0.79234,0.25527,1
0.24001,0.14824,0.14173,0.87575,0.49684,0.20355,0.29859,0.70612,0.80193,0.23,-1
0.074489,0.005567,0,0.92883,0.43633,0.18701,0.31135,0.6416,0.68944,0.25886,-1
0.30468,0.13993,0.13407,0.72867,0.75932,0.21713,0.31294,0.55083,0.77223,0.24988,1
0.24795,0.32566,0.30153,0.74134,0.80371,0.43635,0.68012,0.65522,0.95121,0.15853,1
0.26676,0.48591,0.23116,0.86173,0.733,0.39835,0.41498,0.71298,0.76988,0.22102,1
