@relation 'Music_Emotion_Recognition-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.functions.SMO -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature28 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature97 numeric
@attribute Feature102 numeric
@attribute Feature112 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature152 numeric
@attribute Feature166 numeric
@attribute Class {-1,1}

@data
0.3752,0.20438,0.48399,0.7065,0.41735,0.22445,0.77375,0.75009,0.53502,0.47981,-1
0.20975,0.33567,0.42764,0.49459,0.59111,0.34779,0.6294,0.63101,0.44212,0.51196,-1
0.27482,0.19843,0.20218,0.53088,0.39548,0.35934,0.49973,0.74219,0.7605,0.30265,1
0.25184,0.38875,0.35063,0.63531,0.31969,0.40148,0.49399,0.86649,0.60933,0.41832,1
0.41819,0.2479,0.39639,0.75669,0.39526,0.1956,0.42538,0.70626,0.67262,0.42728,1
0.17694,0.15564,0.13127,0.75565,0.66542,0.22018,0.30666,0.49785,0.69401,0.19806,1
0.81073,0.53039,0.19826,0.88396,0.8447,0.046592,0.16854,0.79311,0.83295,0.20456,1
0.19944,0.19446,0.17428,1,0.37647,0.18788,0.26099,0.74832,0.54175,0.3811,-1
0.1059,0.1457,0.20903,0.93195,0.41222,0.14664,0.42349,0.85876,0.70967,0.26026,-1
0.24318,0.4064,0.58103,0.82655,0.46988,0.50559,0.55109,0.94344,0.78272,0.22476,1
0.16947,0.33573,0.42175,0.54344,0.26431,0.19754,0.40537,0.85164,0.65471,0.38635,1
0.22127,0.28528,0.1406,0.47743,0.46495,0.27496,0.45639,0.83948,0.72398,0.21919,-1
0.50641,0.35122,0.26045,0.83883,0.60284,0.35144,0.48868,0.69547,0.72993,0.49597,1
1,0.90674,1,0.44965,0.30978,0.60217,0.77869,0.75125,0.87426,0.3517,1
0.24571,0.15216,0.21065,0.64811,0.63428,0.44072,0.42282,0.95784,0.92809,0.11021,1
0.30962,0.34599,0.29217,0.41875,0.59546,0.51026,0.24436,0.78139,0.71474,0.35432,1
0.1213,0.18831,0.32487,0.63396,0.222,0.3685,0.44854,0.69004,0.60325,0.3795,-1
0.18798,0.19403,0.27518,0.90352,0.28344,0.28794,0.28196,0.75382,0.63033,0.2882,1
0.26673,0.042798,0.12474,0.65339,0.69831,0.44961,0.3299,0.4684,0.79897,0.24222,1
0.37053,0.11796,0.22016,0.63521,0.39447,0.60308,0.45653,0.68629,0.52626,0.46183,1
0.31902,0.096769,0.11742,0.97446,0.57768,0.44032,0.25412,0.78708,0.66749,0.25593,1
0.32458,0.2194,0.2651,0.76177,0.57052,0.28478,0.59957,0.49502,0.556,0.46353,-1
0.2105,0.15475,0.16639,0.85213,0.57354,0.25433,0.43134,0.61413,0.65108,0.4812,-1
0.44863,0.4444,0.3766,0.60125,0.21602,0.43308,0.53255,0.65785,0.5457,0.40001,-1
0.3494,0.43985,0.4272,0.48564,0.20793,0.65068,0.64677,0.56077,0.4247,0.51268,-1
0.28237,0.38101,0.50289,0.30302,0.39566,0.68383,0.48612,0.43077,0.40523,0.65887,-1
0.21085,0.2629,0.24058,0.82965,0.34369,0.36209,0.40145,0.60118,0.57899,0.40835,-1
0.43328,0.22638,0.1652,0.96583,0.50442,0.27663,0.66341,0.63539,0.75938,0.43698,1
0.31872,0.27213,0.3302,0.83762,0.40925,0.22736,0.38395,0.70081,0.55346,0.40792,1
0.46345,0.13818,0.19663,0.82228,0.47774,0.36634,0.57845,0.79227,0.6478,0.54458,1
0.25523,0.1013,0.22195,0.87187,0.48215,0.29712,0.37505,0.64479,0.62084,0.32774,-1
0.35504,0.61137,0.87597,0.28841,0.26984,0.74008,0.38552,0.97005,0.9089,0.052646,1
0.11407,0.18938,0.21854,0.59625,0.48112,0.26156,0.30694,0.8257,0.59429,0.29951,-1
0.34513,0.10883,0.16934,0.81333,0.44226,0.13396,0.60281,0.68619,0.70369,0.40588,1
0.23909,0.29907,0.22362,0.64418,0.46205,0.39161,0.474,0.60685,0.59649,0.27793,-1
0.32623,0.38741,0.30677,0.75766,0.44521,0.34375,0.46114,0.45709,0.51982,0.31088,-1
0.14456,0.64526,0.51451,0.30642,0.45179,0.56366,0.69588,0.6832,0.49906,0.51128,1
0.3108,0.32964,0.25133,0.72194,0.29056,0.37266,0.50203,0.59259,0.56253,0.42731,-1
0.19968,0.34168,0.52955,0.42037,0.38177,0.61333,0.36154,0.80807,0.445,0.44843,-1
0.19517,0.37045,0.48767,0.74117,0.31513,0.23959,0.45374,0.73913,0.33352,0.6678,-1
0.5048,0.444,0.83736,0.7529,0.66842,0.43068,0.70654,0.47919,0.58898,0.57983,1
0.23894,0.48745,0.44171,0.76341,0.56413,0.29575,0.48573,0.55047,0.66462,0.22858,1
0.2084,0.17475,0.4087,0.77884,0.37928,0.35276,0.58934,0.70252,0.54427,0.58985,-1
0.20433,0.24089,0.33349,0.73152,0.37608,0.15604,0.5278,0.74771,0.58439,0.63609,-1
0.27784,0.18652,0.20711,0.69302,0.4964,0.34591,0.27611,0.60864,0.54857,0.19607,-1
0.23417,0.66591,0.5513,0.35336,0.59485,0.74053,0.44888,0.62377,0.68879,0.24785,1
0.3285,0.53734,0.65642,0.59224,0.44958,0.63913,0.45665,0.70731,0.50792,0.38757,-1
0.34992,0.28266,0.37675,0.73635,0.48711,0.48215,0.54935,0.7237,0.64344,0.33409,1
0.29,0.25321,0.38003,0.44944,0.85246,0.39581,0.31426,0.65696,0.73875,0.21652,1
0.3643,0.23862,0.21679,0.55695,0.79894,0.27175,0.60971,0.61836,0.79947,0.32615,1
0.3748,0.26052,0.52604,0.74393,0.78394,0.37204,0.50385,0.56322,0.5583,0.36259,1
0.54196,0.52676,0.52401,0.69103,0.73217,0.32074,0.56678,0.7123,0.59941,0.42734,1
0.33065,0.12796,0.13653,0.83724,0.19066,0.17031,0.44807,0.80811,0.70024,0.37427,-1
0.38235,0.25978,0.31354,0.67247,0.17521,0.26443,0.49262,0.82855,0.55734,0.49493,-1
0.28308,0.49483,0.31613,0.81832,0.18757,0.37674,0.60825,0.64091,0.68104,0.48708,-1
0.24272,0.27854,0.39521,0.63978,0.48178,0.45134,0.34309,0.79567,0.61469,0.43607,1
0.2167,0.26158,0.38479,0.81722,0.392,0.37706,0.39923,0.75529,0.51995,0.41467,1
0.20262,0.16839,0.1721,0.63119,0.45303,0.2316,0.48757,0.56334,0.70568,0.2807,-1
0.17975,0.11111,0.16783,0.68774,0.57743,0.27594,0.46377,0.446,0.70637,0.33564,-1
0.33253,0.28421,0.30186,0.54999,0.43934,0.35064,0.30831,0.67478,0.47028,0.4156,1
0.3183,0.20742,0.47522,0.59562,0.56811,0.3846,0.65246,0.65641,0.73843,0.32929,1
0.43933,0.51877,0.36703,0.98341,0.37781,0,1,0.89368,0.98953,0.27076,1
0.45321,0.13067,0.19027,0.71189,0.51504,0.19545,0.42234,0.71434,0.68412,0.37948,1
0.30872,0.18836,0.19813,0.77729,0.44269,0.096922,0.50498,0.68189,0.71592,0.44805,-1
0.2454,0.18199,0.13532,0.71402,0.65644,0.15114,0.51235,0.54687,0.71312,0.33021,1
